Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20210101:0010,0.0,0.0,0.0,-0.21,1.59,0.0
20210101:0110,0.0,0.0,0.0,-0.44,1.59,0.0
20210101:0210,0.0,0.0,0.0,-0.48,1.38,0.0
20210101:0310,0.0,0.0,0.0,-0.47,1.24,0.0
20210101:0410,0.0,0.0,0.0,-0.5,1.24,0.0
20210101:0510,0.0,0.0,0.0,-0.5,1.1,0.0
20210101:0610,0.0,0.0,0.0,-0.52,1.03,0.0
20210101:0710,0.0,0.0,0.0,-1.56,1.31,0.0
20210101:0810,9.98,22.4,2.52,-1.32,1.1,0.0
20210101:0910,38.36,57.86,9.19,-0.14,0.97,0.0
20210101:1010,102.82,130.33,14.15,1.02,0.97,0.0
20210101:1110,590.08,687.99,16.99,2.15,1.31,0.0
20210101:1210,622.52,724.56,17.45,2.7,1.93,0.0
20210101:1310,541.22,626.79,15.48,2.9,1.72,0.0
20210101:1410,101.39,129.59,11.27,3.01,1.31,0.0
20210101:1510,62.5,86.98,5.19,3.08,1.1,0.0
20210101:1610,0.0,0.0,0.0,2.85,0.83,0.0
20210101:1710,0.0,0.0,0.0,2.36,0.97,0.0
20210101:1810,0.0,0.0,0.0,2.04,1.1,0.0
20210101:1910,0.0,0.0,0.0,-0.11,1.38,0.0
20210101:2010,0.0,0.0,0.0,-0.74,1.38,0.0
20210101:2110,0.0,0.0,0.0,-1.05,1.31,0.0
20210101:2210,0.0,0.0,0.0,-1.11,1.1,0.0
20210101:2310,0.0,0.0,0.0,-0.76,0.9,0.0
20210102:0010,0.0,0.0,0.0,-0.18,0.62,0.0
20210102:0110,0.0,0.0,0.0,0.0,0.55,0.0
20210102:0210,0.0,0.0,0.0,-0.41,0.69,0.0
20210102:0310,0.0,0.0,0.0,-0.95,0.9,0.0
20210102:0410,0.0,0.0,0.0,-1.32,1.03,0.0
20210102:0510,0.0,0.0,0.0,-1.55,1.1,0.0
20210102:0610,0.0,0.0,0.0,-1.78,1.17,0.0
20210102:0710,0.0,0.0,0.0,-3.05,1.52,0.0
20210102:0810,18.59,33.68,2.53,-3.34,1.52,0.0
20210102:0910,215.1,249.02,9.23,-1.73,0.9,0.0
20210102:1010,154.38,185.59,14.2,0.3,0.83,0.0
20210102:1110,435.68,501.9,17.07,1.79,1.03,0.0
20210102:1210,380.72,438.52,17.54,2.39,1.24,0.0
20210102:1310,148.97,181.7,15.59,2.89,1.31,0.0
20210102:1410,54.66,77.57,11.39,2.91,1.17,0.0
20210102:1510,62.65,87.0,5.32,2.75,1.17,0.0
20210102:1610,0.0,0.0,0.0,2.4,1.38,0.0
20210102:1710,0.0,0.0,0.0,1.81,1.24,0.0
20210102:1810,0.0,0.0,0.0,1.58,0.9,0.0
20210102:1910,0.0,0.0,0.0,2.0,0.62,0.0
